tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,OnlineSecurity,PaymentMethod,SeniorCitizen,Partner,Dependents,PaperlessBilling,Churn
51,61.63,2895.02,Month-to-month,DSL,Yes,Yes,Bank transfer,0,Yes,No,Yes,No
14,84.24,1157.92,Month-to-month,DSL,No,No,Credit card,0,No,No,Yes,Yes
71,83.1,5826.0,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,Yes,No
60,59.91,3310.8,Month-to-month,No,Yes,Yes,Credit card,0,Yes,No,No,No
20,42.52,771.82,Two year,Fiber optic,Yes,Yes,Credit card,0,Yes,Yes,No,No
23,75.25,1662.14,One year,Fiber optic,No,Yes,Credit card,0,Yes,Yes,No,No
2,67.35,127.69,One year,DSL,No,No,Electronic check,0,Yes,No,Yes,No
21,48.35,957.23,One year,No,No,Yes,Electronic check,0,Yes,Yes,Yes,No
52,39.73,2016.59,Month-to-month,DSL,No,Yes,Electronic check,0,No,No,Yes,No
1,77.31,77.08,Two year,DSL,No,No,Mailed check,0,Yes,Yes,Yes,No
29,81.5,2240.05,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,No,Yes
37,54.2,1806.09,Month-to-month,Fiber optic,No,No,Mailed check,0,Yes,Yes,Yes,Yes
1,47.6,45.68,One year,No,Yes,Yes,Credit card,1,Yes,No,Yes,No
63,40.09,2438.27,Month-to-month,DSL,No,No,Mailed check,0,No,No,Yes,Yes
59,76.47,4434.14,One year,No,No,Yes,Credit card,0,No,Yes,Yes,No
20,40.88,752.14,Month-to-month,Fiber optic,No,Yes,Mailed check,1,Yes,No,Yes,Yes
32,120.0,3657.34,One year,Fiber optic,No,No,Electronic check,0,No,No,No,No
57,52.69,2837.29,Month-to-month,DSL,No,No,Electronic check,0,Yes,No,Yes,Yes
21,18.0,365.32,Month-to-month,DSL,No,No,Mailed check,1,Yes,Yes,No,Yes
48,64.09,2788.36,One year,No,Yes,Yes,Mailed check,0,No,No,Yes,No
58,62.81,3600.73,Month-to-month,Fiber optic,Yes,No,Electronic check,1,No,No,No,Yes
41,98.35,3835.23,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,Yes,Yes,Yes
59,73.64,4291.34,Month-to-month,No,Yes,No,Credit card,0,Yes,No,No,No
14,39.98,522.79,One year,DSL,Yes,No,Credit card,0,No,Yes,Yes,No
61,56.41,3321.79,One year,Fiber optic,No,No,Credit card,1,Yes,No,Yes,No
61,74.82,4544.27,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,Yes,Yes
46,18.0,823.31,Two year,DSL,No,No,Credit card,0,Yes,No,No,No
61,105.16,6378.9,Two year,DSL,Yes,No,Bank transfer,0,No,No,Yes,Yes
50,40.06,1811.3,One year,Fiber optic,Yes,No,Bank transfer,0,Yes,No,No,No
54,107.51,5458.96,One year,Fiber optic,Yes,No,Electronic check,0,No,No,No,No
63,76.77,4382.26,Month-to-month,Fiber optic,No,No,Electronic check,1,Yes,No,Yes,Yes
2,83.89,156.19,One year,DSL,Yes,No,Mailed check,0,No,No,Yes,No
50,99.48,4563.44,Month-to-month,No,No,No,Credit card,0,Yes,No,Yes,No
6,82.19,474.41,Month-to-month,DSL,Yes,Yes,Credit card,0,Yes,No,Yes,Yes
20,85.19,1666.44,Two year,Fiber optic,No,Yes,Electronic check,0,Yes,Yes,Yes,No
38,60.07,2171.57,One year,Fiber optic,No,No,Electronic check,0,No,No,No,No
17,76.17,1268.41,Month-to-month,DSL,Yes,No,Electronic check,0,Yes,No,No,No
3,47.38,128.11,Month-to-month,DSL,No,Yes,Mailed check,0,Yes,Yes,No,No
59,54.7,3169.36,One year,Fiber optic,No,Yes,Credit card,0,Yes,No,Yes,No
13,120.0,1431.82,Month-to-month,No,No,No,Mailed check,0,No,No,No,Yes
8,40.75,308.43,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,Yes,No
52,69.63,3418.93,Month-to-month,Fiber optic,No,No,Bank transfer,0,Yes,No,Yes,Yes
1,68.4,67.53,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,Yes,No,Yes
59,55.68,3273.94,One year,DSL,No,No,Electronic check,0,No,No,No,No
70,80.43,5210.73,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,Yes,No
43,82.69,3224.07,One year,No,Yes,Yes,Mailed check,0,No,No,No,No
7,37.23,251.5,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,Yes,No
46,68.04,2974.24,One year,No,No,No,Bank transfer,1,Yes,Yes,No,No
34,32.53,1057.99,Two year,DSL,No,No,Credit card,0,No,Yes,Yes,No
